ID,answer
TEST_00000,yes
TEST_00001,on
TEST_00002,white
TEST_00003,white
TEST_00004,yes
TEST_00005,white
TEST_00006,2
TEST_00007,yes
TEST_00008,yes
TEST_00009,white
TEST_00010,yes
TEST_00011,whitechen
TEST_00012,yes
TEST_00013,2
TEST_00014,white
TEST_00015,2
TEST_00016,white
TEST_00017,white
TEST_00018,yes
TEST_00019,2
TEST_00020,yes
TEST_00021,yes
TEST_00022,yes
TEST_00023,no
TEST_00024,2
TEST_00025,white
TEST_00026,yes
TEST_00027,white
TEST_00028,yes
TEST_00029,white
TEST_00030,2
TEST_00031,on
TEST_00032,2
TEST_00033,to
TEST_00034,2
TEST_00035,yes
TEST_00036,white
TEST_00037,white:
TEST_00038,to
TEST_00039,white:45
TEST_00040,man
TEST_00041,white
TEST_00042,yes
TEST_00043,2
TEST_00044,white
TEST_00045,2
TEST_00046,yes
TEST_00047,white
TEST_00048,left
TEST_00049,whiteing
TEST_00050,yes
TEST_00051,white
TEST_00052,yes
TEST_00053,yes
TEST_00054,white
TEST_00055,yes
TEST_00056,white
TEST_00057,no
TEST_00058,2
TEST_00059,white
TEST_00060,whiteby
TEST_00061,yes
TEST_00062,white
TEST_00063,yes
TEST_00064,white
TEST_00065,white so
TEST_00066,white
TEST_00067,left
TEST_00068,yes
TEST_00069,whitenis
TEST_00070,yes
TEST_00071,white
TEST_00072,yes
TEST_00073,yes
TEST_00074,white
TEST_00075,white
TEST_00076,yes
TEST_00077,yes
TEST_00078,yes
TEST_00079,left
TEST_00080,yes
TEST_00081,yes
TEST_00082,white
TEST_00083,whitechen
TEST_00084,on
TEST_00085,white
TEST_00086,left
TEST_00087,white
TEST_00088,2
TEST_00089,white
TEST_00090,white
TEST_00091,white
TEST_00092,white
TEST_00093,whitenow
TEST_00094,yes
TEST_00095,white
TEST_00096,white
TEST_00097,no
TEST_00098,yes
TEST_00099,white
TEST_00100,2
TEST_00101,on
TEST_00102,yes
TEST_00103,white
TEST_00104,yes
TEST_00105,2
TEST_00106,yes
TEST_00107,white
TEST_00108,white
TEST_00109,yes
TEST_00110,yes
TEST_00111,white
TEST_00112,1
TEST_00113,yes
TEST_00114,yes
TEST_00115,2
TEST_00116,2
TEST_00117,yes
TEST_00118,yes
TEST_00119,man
TEST_00120,yes
TEST_00121,yes
TEST_00122,white white
TEST_00123,yes
TEST_00124,white
TEST_00125,yes
TEST_00126,yes
TEST_00127,white
TEST_00128,2
TEST_00129,white
TEST_00130,yes
TEST_00131,white
TEST_00132,whitenis
TEST_00133,yes
TEST_00134,yes
TEST_00135,leftizza
TEST_00136,yes
TEST_00137,white
TEST_00138,white
TEST_00139,yes
TEST_00140,2
TEST_00141,yes
TEST_00142,2
TEST_00143,white
TEST_00144,yes
TEST_00145,2
TEST_00146,yes
TEST_00147,white
TEST_00148,white
TEST_00149,yes
TEST_00150,white
TEST_00151,yes
TEST_00152,white
TEST_00153,yes
TEST_00154,2
TEST_00155,white
TEST_00156,yes
TEST_00157,white
TEST_00158,yes
TEST_00159,yes
TEST_00160,yes
TEST_00161,2
TEST_00162,yes
TEST_00163,yes
TEST_00164,2
TEST_00165,yes
TEST_00166,yes
TEST_00167,white
TEST_00168,yes
